Species,Synanthropy,Keratinophagy
Tinea_murariella,1,2
Tinea_apicimaculella,0,1
Tinea_occidentella,0,2
Tinea_carnariella,0,1
Acrolophus_spp,0,0
Hybroma_servulella,0,0
Monopis_crocicapitella_1,1,1
Monopis_laevigella_1,1,1
Monopis_marginistrigella,0,1
Monopis_monachella_1,1,1
Monopis_monachella_2,1,1
Monopis_pavlovskii,0,1
Morophaga_bucephala,0,0
Opogona_nipponica_1,0,0
Opogona_nipponica_2,0,0
Scardiella_approximatella,0,0
Trichophaga_tapetzella,1,2
Xystrologa_wielgusi_1,1,0
Xystrologa_wielgusi_2,1,0
Tineola_bisselliella_1,2,1
Tineola_bisselliella_3,2,1
Tineola_bisselliella_2,2,1
Monopis_crocicapitella_2,1,1
Phereoeca_spp_3,1,1
Phereoeca_spp_4,1,1
Niditinea_fuscella_2,1,1
Niditinea_fuscella_1,1,1
Niditinea_fuscella_3,1,1
Tinea_croceoverticella_1,1,0
Tinea_croceoverticella_2,1,0
Erechthias_zebrina_1,1,1
Erechthias_zebrina_2,1,1
Phereoeca_spp_1,1,1
Phereoeca_spp_2,1,1
Tinea_pellionella,1,2
Tinea_trinotella,0,2
Tinea_semifulvella,0,1
Monopis_laevigella_2,1,1
Cydia_amplana,0,0
Adela_reaumurella,0,0
